movie_id	title	rating	votes	gross	countries
2000813	"'Crocodile' Dundee II"	5.4	39059	"$109,305,000 (USA)"	USA
2001122	"'night, Mother"	7.5	1535	"$441,863 (USA)"	USA
2001200	"'Round Midnight"	7.4	3316	"$3,272,600 (USA)"	USA
2001651	"*batteries not included"	6.5	19444	"$32,945,797 (USA)"	USA
2002566	10	6.0	10677	"$74,865,517 (USA)"	USA
2002781	"10 to Midnight"	6.2	3568	"$7,100,000 (USA)"	USA
2003350	"101 Dalmatians"	5.6	59831	"$136,189,294 (USA)"	USA
2003415	"102 Dalmatians"	4.8	22113	"$66,957,026 (USA)"	USA
2003966	"127 Hours"	7.7	225463	"$18,335,230 (USA)"	USA
2004073	"13 Going on 30"	6.1	92932	"$57,231,747 (USA)"	USA
2004318	1408	6.8	178441	"$71,985,628 (USA)"	USA
2004728	1776	7.6	5739	"$6,104,000 (USA)"	USA
2004777	"18 Again!"	5.5	2984	"$2,567,099 (USA)"	USA
2005223	1941	5.9	21913	"$31,755,742 (USA)"	USA
2005446	1969	5.8	2657	"$5,979,011 (USA)"	USA
2006351	"2 Days in the Valley"	6.5	14185	"$11,114,000 (USA)"	USA
2006418	"2 Guns"	6.8	118523	"$75,612,460 (USA)"	USA
2007037	"2001: A Space Odyssey"	8.3	318215	"$56,954,992 (USA)"	USA
2007480	2010	6.8	36219	"$40,200,000 (USA)"	USA
2007803	"2016: Obama's America"	5.1	8251	"$33,449,086 (USA)"	USA
2007922	"21 & Over"	5.8	47377	"$25,682,380 (USA)"	USA
2007928	21	6.8	167631	"$81,159,365 (USA)"	USA
2008780	"29th Street"	7.2	1823	"$2,120,564 (USA)"	USA
2009176	"3 Men and a Baby"	5.8	32084	"$167,780,960 (USA)"	USA
2009178	"3 Men and a Little Lady"	5.1	15054	"$71,609,321 (USA)"	USA
2009242	"3 Ninjas"	5.1	13987	"$29,000,301 (USA)"	USA
2009243	"3 Ninjas Kick Back"	4.1	5643	"$11,784,000 (USA)"	USA
2009245	"3 Ninjas Knuckle Up"	3.9	3514	"$407,618 (USA)"	USA
2009246	"3 Ninjas: High Noon at Mega Mountain"	2.6	8386	"$375,805 (USA)"	USA
2010159	"3:10 to Yuma"	7.8	200989	"$53,606,916 (USA)"	USA
2010806	"42nd Street"	7.7	6876	"$2,300,000 (USA)"	USA
2010933	"47 Ronin"	6.3	83895	"$38,362,475 (USA)"	USA
2010975	"48 Hrs."	6.9	44236	"$78,868,508 (USA)"	USA
2011040	"4: Rise of the Silver Surfer"	5.6	175567	"$131,921,738 (USA)"	USA
2011499	"50 First Dates"	6.8	220237	"$120,908,074 (USA)"	USA
2011748	"52 Pick-Up"	6.4	2737	"$5,186,646 (USA)"	USA
2013012	"8 Million Ways to Die"	5.6	2892	"$1,305,114 (USA)"	USA
2013048	"8 Seconds"	6.5	3439	"$19,604,000 (USA)"	USA
2013201	"84 Charing Cross Road"	7.5	5199	"$1,083,486 (USA)"	USA
2013204	"84C MoPic"	7.1	1230	"$154,264 (USA)"	USA
2013299	8MM	6.5	93645	"$36,663,315 (USA)"	USA
2013685	976-EVIL	4.9	2954	"$2,955,917 (USA)"	USA
2014273	"A Beautiful Mind"	8.2	433466	"$170,742,341 (USA)"	USA
2014944	"A Bridge Too Far"	7.4	35034	"$50,800,000 (USA)"	USA
2014973	"A Brief History of Time"	7.5	2682	"$2,279,692 (USA)"	USA
2015051	"A Bronx Tale"	7.8	84230	"$17,266,971 (USA)"	USA
2015112	"A Bug's Life"	7.2	173110	"$162,798,565 (USA)"	USA
2015962	"A Chorus Line"	6.0	6718	"$14,202,899 (USA)"	USA
2016003	"A Christmas Carol"	6.8	54878	"$137,855,863 (USA)"	USA
2016059	"A Christmas Story"	8.1	91964	"$19,294,144 (USA)"	USA
2017180	"A Dangerous Woman"	6.0	1040	"$1,497,222 (USA)"	USA
2018543	"A Dry White Season"	6.9	3011	"$3,766,879 (USA)"	USA
2018872	"A Family Thing"	6.9	2370	"$10,118,000 (USA)"	USA
2018911	"A Far Off Place"	6.6	2500	"$12,890,752 (USA)"	USA
2018921	"A Farewell to Arms"	5.9	1581	"$11,000,000 (USA)"	USA
2019127	"A Few Good Men"	7.6	154253	"$141,340,178 (USA)"	USA
2019315	"A Fine Mess"	4.3	1029	"$6,029,824 (USA)"	USA
2019355	"A Fish Called Wanda"	7.6	96601	"$63,493,712 (USA)"	USA
2019607	"A Force of One"	4.9	1932	"$20,166,000 (USA)"	USA
2020488	"A Good Day to Die Hard"	5.3	135013	"$67,349,198 (USA)"	USA
2020549	"A Good Man in Africa"	5.0	1819	"$2,308,390 (USA)"	USA
2020632	"A Goofy Movie"	6.8	28811	"$35,348,597 (USA)"	USA
2021058	"A Haunted House"	5.0	27283	"$40,041,683 (USA)"	USA
